Cidade,Estado,Tipo,Longitude,Latitude
Vilhena,RO,Loja ,-60.1385838660987,-12.7413734718029
Pontes e Lacerda,MT,Loja ,-59.3380018443657,-15.2297275711100
Caceres,MT,Loja ,-57.6747623072181,-16.0740956303637
Juara,MT,Loja ,-57.5131232183312,-11.2503599784852
Nova Mutum,MT,Loja ,-56.1100052480978,-13.8327256927240
Alta Floresta,MT,Loja ,-56.0916104404738,-9.8717225966195
Cuiaba,MT,Loja ,-56.0732520381911,-15.5699890131206
Lucas do Rio   Verde,MT,Loja ,-55.9217707091117,-13.0704649508999
Sorriso,MT,Loja ,-55.7259136750913,-12.5517767078455
Sinop,MT,Loja ,-55.5009220023868,-11.8580053080776
Primavera do   Leste,MT,Loja ,-54.3000532591227,-15.5522935931141
Barra do Gracas,MT,Loja ,-52.2603297567721,-15.8887114516953
Querencia,MT,Loja ,-52.2098919155942,-12.5922996263044
Confresa,MT,Loja ,-51.5710336178615,-10.6407305770377
Rio Verde,GO,Loja ,-50.9296809301732,-17.7945434019057
Palmeiras de   Goias,GO,Loja ,-49.9227871292957,-16.8069880059216
Itaberai,GO,Loja ,-49.8034793740214,-16.0211302070027
Ceres,GO,Loja ,-49.6033462318308,-15.3070283354002
Goiania,GO,Loja ,-49.2558142758158,-16.6733097738389
Uruacu,GO,Loja ,-49.1474856222181,-14.5202197628247
Porangatu,GO,Loja ,-49.1462260518879,-13.4421859466224
Gurupi,TO,Loja ,-49.0714774689303,-11.7297723228600
Piracanjuba,GO,Loja ,-49.0245603471275,-17.3018097158009
Anapolis,GO,Loja ,-48.9572179026313,-16.3288257446492
Abadiania,GO,Fabrica ,-48.7188121416752,-16.1826718580048
Vianapolis,GO,Loja ,-48.5134708970577,-16.7420814386658
Orizona,GO,Loja ,-48.3021478029846,-17.0347660176056
Taguatinga,DF,Loja ,-48.1553450641531,-15.8780611193040
Rondonopolis,MT,Loja ,-54.6371, -16.4713
Luziania,GO,Loja ,-47.9557200567595,-16.2585410000000
Catalao,GO,Loja ,-47.9477032172158,-18.1695733634179
Guara,DF,Loja ,-47.8879054780313,-15.7940873618910
Sobradinho,DF,Loja ,-47.8780053252121,-15.6017931470821
Cristalina,GO,Loja ,-47.6068175922326,-16.7694336631642
Formosa,GO,Loja ,-47.3358155764676,-15.5409446276830
Agua Boa,MT,Loja ,-52.1592,-14.0553
Jussara,GO,Loja ,-50.8691,-15.8586
Canarana,MT,Loja ,-52.1636,-13.5392
